Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3891069941,InfoVision Inc.,Data Analyst,Data Analyst,85000,YEARLY,"South Dakota, United States",282692,35000,Contract,0,Entry level,BASE_SALARY,null,Information Technology,Telecommunications
3891074620,Technology Hub Inc,Azure Data Engineer,Data Engineer,85000,YEARLY,"Plano, TX",18587408,35000,Contract,0,null,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3891076521,Optomi,Data Analyst,Data Analyst,65,HOURLY,United States,2684081,55,Contract,1,Mid-Senior level,BASE_SALARY,124800,Information Technology,IT Services and IT Consulting
3891081055,Maricopa County,Data Architect,Data Architect,155000,YEARLY,"Phoenix, AZ",164848,93500,Full-time,0,Mid-Senior level,BASE_SALARY,124250,Engineering,Government Administration
3891267987,Experis,Data Analyst,Data Analyst,85000,HOURLY,"New Albany, OH",2203697,35000,Contract,0,Entry level,BASE_SALARY,87360,Information Technology,Staffing and Recruiting
3891282411,Russell Tobin,Data Entry Specialist,Data Entry,85000,YEARLY,"Franklin, TN",827183,35000,Contract,0,Entry level,BASE_SALARY,null,Administrative,Staffing and Recruiting
3894218328,"Delta System & Software, Inc.",Data Analyst,Data Analyst,23,HOURLY,"Chesterfield, VA",690587,21,Contract,0,Mid-Senior level,BASE_SALARY,null,Information Technology,Information Services
3894281851,Synechron,Azure Data Engineer,Data Engineer,120000,YEARLY,"Weehawken, NJ",15506,100000,Full-time,0,Mid-Senior level,BASE_SALARY,110000,Information Technology,Financial Services
3894551518,Tata Consultancy Services,Data Analyst,Data Analyst,34,HOURLY,"Bellevue, WA",1353,25,Full-time,0,Entry level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3894950145,Complete Staffing Solutions,Data Analyst,Data Analyst,95000,YEARLY,"Atlanta, GA",1457175,95000,Full-time,0,Entry level,BASE_SALARY,95000,Information Technology,Staffing and Recruiting
3895215696,Quantum World Technologies Inc.,Data Analyst,Data Analyst,0,HOURLY,United States,13331595,0,Contract,1,Mid-Senior level,BASE_SALARY,null,Advertising,IT Services and IT Consulting
3895242027,Coders Data,Data Analyst,Data Analyst,0,HOURLY,New York City Metropolitan Area,14508644,0,Full-time,1,Entry level,BASE_SALARY,null,Information Technology,IT Services and IT Consulting
3895487876,Community Foundation for a greater Richmond,Data Analyst,Data Analyst,89000,YEARLY,"Richmond, VA",77710,80000,Full-time,0,null,BASE_SALARY,null,Information Technology,Philanthropic Fundraising Services
3895569928,ActiveCampaign,Data Architect,Data Architect,26,HOURLY,"Indianapolis, IN",221390,23,Full-time,0,Mid-Senior level,BASE_SALARY,null,Engineering,Software Development
3898155777,Catapult Solutions Group,Data Analyst,Data Analyst,140000,YEARLY,Cincinnati Metropolitan Area,3077586,110000,Full-time,0,Mid-Senior level,BASE_SALARY,125000,Engineering,Real Estate
